Land;Auslandsvertretung;Ehegattennachzug;Elternnachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Peru;Lima;129;31;44;1;381;168;314;0;0;0;60;1128
Philippinen;Manila;1126;138;633;3;154;168;5799;0;0;1;38;8060
Polen;Warschau;165;7;77;0;104;3;612;0;0;0;6;974
Portugal;Lissabon;33;0;16;0;31;1;268;0;0;0;49;398
Ruanda;Kigali;32;3;9;3;93;7;190;0;0;0;18;355
Rumänien;Bukarest;21;2;9;3;13;95;54;0;0;0;12;209
Russische Föderation;Jekaterinburg;125;10;68;0;44;10;78;0;208;13;3;559
Russische Föderation;Kaliningrad;51;4;25;0;3;0;13;0;93;2;3;194
Russische Föderation;Moskau;1495;59;1038;2;1504;184;1875;199;1209;275;297;8137
Russische Föderation;Nowosibirsk;124;12;32;0;14;11;67;16;401;5;4;686
Russische Föderation;St Petersburg;406;18;222;7;127;48;351;0;128;56;22;1385
Sambia;Lusaka;30;5;14;0;29;1;37;0;0;0;35;151
Saudi-Arabien;Djidda;66;5;34;1;123;19;59;0;0;0;13;320
Saudi-Arabien;Riad;211;12;199;1;182;24;111;0;0;1;154;895
Schweden;Stockholm;77;2;40;0;16;3;208;0;0;0;1;347
Schweiz;Bern;109;4;29;0;70;6;626;0;0;0;10;854
Senegal;Dakar;221;39;179;12;111;13;185;0;0;0;52;812
Serbien;Belgrad;1961;71;1743;10;185;38;10840;2;2;20;91;14963
Simbabwe;Harare;28;1;43;0;84;7;240;0;0;0;12;415
Singapur;Singapur;232;8;83;0;383;6;298;0;0;0;159;1169
Slowakei;Pressburg;33;6;9;3;11;1;149;0;0;0;3;215
Slowenien;Ljubljana;33;1;14;0;3;0;154;0;0;0;0;205
Spanien;Madrid;94;13;35;0;80;10;328;0;0;0;12;572
Sri Lanka;Colombo;368;3;90;0;372;2;190;0;0;2;6;1033
Südafrika;Kapstadt;124;14;64;0;86;13;265;0;0;2;62;630
Südafrika;Pretoria;209;43;68;0;196;28;425;0;0;0;22;991
Sudan;Khartum;111;8;27;0;22;3;8;0;0;0;4;183
Tadschikistan;Duschanbe;109;6;74;0;76;12;577;0;5;1;22;882
Taiwan;Taipei;123;21;66;2;1289;82;404;0;0;0;21;2008
Tansania;Daressalam;71;36;35;0;83;14;283;0;0;0;13;535
Thailand;Bangkok;1147;89;296;14;434;201;819;0;0;4;578;3582
Togo;Lomé;144;22;91;6;54;4;304;0;0;0;23;648
Trinidad und Tobago;Port of Spain;11;3;4;0;17;4;11;0;0;0;1;51
Tschechische Republik;Prag;79;2;32;0;29;7;267;0;0;2;1;419
Tunesien;Tunis;1133;259;180;2;1186;318;3448;0;0;1;204;6731
Türkei;Ankara;4939;744;2069;0;1933;255;6225;0;5;32;596;16798
Türkei;Istanbul;4774;713;4297;95;5155;467;4267;0;36;2739;1192;23735
Türkei;Izmir;1859;232;575;15;1035;64;1780;0;6;43;297;5906
Turkmenistan;Aschgabat;26;5;26;0;15;11;20;2;7;0;17;129
Uganda;Kampala;205;11;126;0;232;13;438;0;2;0;18;1045
Ungarn;Budapest;71;4;37;0;116;23;369;0;0;0;2;622
Uruguay;Montevideo;14;3;3;0;15;3;158;0;0;0;1;197
USA;Atlanta;53;1;46;0;34;3;233;0;0;0;0;370
USA;Boston;49;0;28;0;74;2;209;0;0;0;5;367
USA;Chicago;56;0;28;0;52;1;222;0;0;0;86;445
USA;Houston;66;4;45;0;41;1;184;0;0;1;2;344
USA;Los Angeles;48;0;23;3;52;9;225;0;0;0;53;413
USA;Miami;13;0;5;0;5;4;66;0;1;0;6;100
USA;New York;81;18;13;0;117;6;330;0;0;1;19;585
USA;San Francisco;78;2;17;0;32;4;270;0;0;0;6;409
USA;Washington;26;0;6;1;34;1;96;0;0;0;622;786
Usbekistan;Taschkent;230;2;161;0;423;52;886;2;39;23;51;1869
VAE;Dubai;440;25;217;0;690;37;614;0;0;11;77;2111
Venezuela;Caracas;60;10;7;2;56;35;120;0;0;0;33;323
Vietnam;Hanoi;341;43;676;1;640;97;4706;0;0;0;84;6588
Vietnam;Ho-Chi-Minh-Stadt;207;25;106;2;623;59;1383;0;0;2;20;2427
Zypern;Nikosia;50;14;5;0;20;12;41;0;4;0;25;171
Gesamt;weltweit;77232;5757;47270;540;76156;6369;157924;295;5289;12012;11382;400226
