Land;Auslandsvertretung;Ehegattennachzug;Elternnachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Ägypten;Kairo;1418;72;796;12;2351;18;2029;0;0;118;823;7637
Albanien;Tirana;2570;59;1856;3;490;96;6442;0;0;1;59;11576
Algerien;Algier;432;41;104;0;341;319;556;0;0;0;108;1901
Angola;Luanda;17;6;21;0;15;13;16;0;0;0;40;128
Argentinien;Buenos Aires;227;18;66;0;232;60;707;0;0;1;6;1317
Armenien;Eriwan;395;4;117;0;170;35;465;4;13;34;76;1313
Aserbaidschan;Baku;320;16;223;0;707;53;1312;7;48;3;74;2763
"Äthiopien";Addis Abeba;647;22;990;0;224;4;72;0;0;2;105;2066
Australien;Canberra;5;0;1;0;0;0;0;0;0;0;23;29
Australien;Sydney;71;7;29;0;57;6;673;0;0;0;169;1012
Bahrain;Manama;18;2;8;0;88;5;62;0;0;0;4;187
Bangladesch;Dhaka;563;4;221;0;1333;2;96;0;0;1;21;2241
Belarus;Minsk;485;22;270;0;157;58;529;40;471;39;102;2173
Belgien;Brüssel;85;1;33;0;60;3;253;0;0;0;8;443
Benin;Cotonou;29;10;41;0;37;7;129;0;0;5;26;284
Bolivien;La Paz;38;8;9;3;129;49;200;0;0;0;39;475
Bosnien und Herzegowina;Sarajewo;3056;15;2813;4;145;43;9423;0;0;1;45;15545
Botsuana;Gaborone;9;6;2;0;19;1;24;0;0;0;0;61
Brasilien;Porto Alegre;7;0;0;0;24;4;326;0;0;0;2;363
Brasilien;Recife;2;0;0;0;2;0;369;0;0;0;2;375
Brasilien;Rio de Janeiro;6;1;2;0;21;5;553;0;0;0;3;591
Brasilien;São Paulo;77;1;20;0;37;10;1254;0;0;0;10;1409
Bulgarien;Sofia;42;0;3;0;10;9;277;0;0;0;12;353
Burkina Faso;Ouagadougou;45;3;19;0;58;2;83;0;0;72;22;304
Chile;Santiago de Chile;200;7;34;1;356;103;571;0;0;1;44;1317
China;Chengdu;101;9;62;0;949;44;511;0;0;0;53;1729
China;Hongkong;80;0;32;0;359;25;168;0;0;0;11;675
China;Kanton;201;32;112;0;944;74;1159;0;0;0;21;2543
China;Peking;459;14;233;6;3614;100;1646;0;0;0;181;6253
China;Shanghai;435;33;236;1;2717;183;1373;0;0;0;71;5049
China;Shenyang;149;8;76;4;546;48;534;0;0;0;10;1375
Costa Rica;San José;64;4;14;2;102;35;120;0;0;0;9;350
Côte d’Ivoire;Abidjan;67;5;59;0;92;3;147;0;0;0;18;391
Dänemark;Kopenhagen;43;4;14;0;33;0;236;0;0;0;0;330
Dominikanische Republik;Santo Domingo;101;40;61;0;56;41;29;0;0;0;16;344
Ecuador;Quito;88;18;20;11;396;196;244;0;0;1;35;1009
El Salvador;San Salvador;0;0;0;0;1;0;57;0;0;0;1;59
Estland;Tallinn;26;0;10;0;9;0;121;0;0;0;0;166
Finnland;Helsinki;23;1;20;0;31;0;101;0;0;0;1;177
Frankreich;Paris;175;16;47;0;87;20;549;0;0;0;5;899
Georgien;Tiflis;351;15;149;1;489;69;1134;3;44;258;128;2641
Ghana;Accra;271;52;219;6;780;20;163;0;0;1;92;1604
Griechenland;Athen;71;4;49;2;11;3;289;0;0;0;98;527
Großbritannien;Edinburgh;34;0;6;0;52;0;326;0;0;0;11;429
Großbritannien;London;247;30;98;1;266;17;1863;0;0;1;67;2590
Guatemala;Guatemala-Stadt;14;6;1;0;52;27;65;0;0;0;14;179
Guinea;Conakry;136;1;120;2;38;0;20;0;0;0;19;336
Honduras;Tegucigalpa;2;1;0;0;2;2;49;0;0;0;1;57
Indien;Bangalore;3278;3;2275;1;6046;68;10049;0;0;0;0;21720
Indien;Chennai;1657;2;1213;0;1843;36;2061;0;0;0;6;6818
Indien;Kalkutta;344;1;144;1;690;12;821;0;0;0;5;2018
Indien;Mumbai;1798;45;812;0;4887;21;2988;0;0;1;22;10574
Indien;New Delhi;1537;33;726;3;3384;40;2020;0;0;2;83;7828
Indonesien;Jakarta;352;21;94;0;986;38;4143;0;0;1;55;5690
Irak;Bagdad;382;19;55;0;76;19;83;0;0;0;94;728
Irak;Erbil;1997;270;2074;36;207;28;113;0;0;552;95;5372
Iran;Teheran;3585;85;1495;13;4288;88;3097;0;0;789;365;13805
Irland;Dublin;33;0;15;0;25;1;571;0;0;0;1;646
Island;Reykjavik;2;0;2;1;0;0;7;0;0;0;0;12
Israel;Tel Aviv;79;3;66;0;190;6;363;0;0;1;10;718
Italien;Rom;155;14;33;1;143;7;517;0;0;0;7;877
Jamaika;Kingston;5;2;5;0;7;1;11;0;0;0;2;33
Japan;Osaka-Kobe;32;2;31;0;53;3;481;0;0;0;2;604
Japan;Tokyo;107;1;84;0;76;2;709;0;0;0;35;1014
Jordanien;Amman;848;40;557;51;1044;24;943;0;0;438;82;4027
Kambodscha;Phnom Penh;26;6;5;0;17;2;31;0;0;0;8;95
Kamerun;Jaunde;252;12;223;5;677;3;1349;0;0;0;30;2551
Kanada;Toronto;98;5;16;2;79;8;659;0;0;0;15;882
Kasachstan;Almaty;203;11;104;1;356;35;311;0;468;39;9;1537
Kasachstan;Astana;235;20;118;2;254;39;259;9;1930;13;57;2936
Katar;Doha;115;8;60;0;200;5;139;0;0;3;17;547
Kenia;Nairobi;290;75;861;40;358;19;510;0;0;44;124;2321
Kirgisistan;Bischkek;89;6;58;1;136;30;1164;1;144;28;25;1682
Kolumbien;Bogotá;336;42;120;3;696;462;1461;0;0;0;60;3180
Kongo;Kinshasa;39;3;23;0;78;9;39;0;0;0;47;238
Korea;Seoul;95;38;31;0;1071;6;1142;0;0;0;124;2507
Kosovo;Pristina;4890;63;3463;1;242;17;8932;0;0;0;479;18087
Kroatien;Zagreb;23;1;5;0;4;1;574;0;0;1;12;621
Kuba;Havanna;201;24;64;4;20;17;151;0;0;0;27;508
Kuwait;Kuwait;44;8;15;3;114;4;50;0;0;0;47;285
Laos;Vientiane;31;2;3;3;4;8;3;0;0;1;4;59
Lettland;Riga;20;5;13;1;50;3;242;0;0;2;7;343
Libanon;Beirut;1058;161;189;0;494;11;331;0;0;0;85;2329
Libanon;Beirut (SYR);6303;938;3909;43;333;8;1247;0;0;2128;210;15119
Litauen;Wilna;36;1;14;0;17;2;496;0;0;0;0;566
Luxemburg;Luxemburg;10;0;4;0;6;0;65;0;0;0;1;86
Madagaskar;Antananarivo;25;2;11;0;25;5;859;0;0;0;338;1265
Malaysia;Kuala Lumpur;146;3;101;0;547;14;339;0;0;0;13;1163
Mali;Bamako;18;1;2;0;17;4;52;0;0;0;6;100
Malta;Valletta;25;0;10;0;12;1;301;0;0;0;0;349
Marokko;Rabat;1406;41;157;1;1940;65;4555;0;0;0;113;8278
Mauretanien;Nouakchott;8;0;9;0;35;15;4;0;0;0;24;95
Mexiko;Mexiko-Stadt;528;78;184;3;1535;346;1623;0;0;1;38;4336
Moldau;Chisinau;103;9;50;0;41;7;117;10;25;0;38;400
Mongolei;Ulan Bator;37;4;50;0;190;27;514;0;0;0;14;836
Montenegro;Podgorica;253;7;178;0;56;8;1205;0;0;34;52;1793
Mosambik;Maputo;19;3;13;4;46;3;32;0;0;3;14;137
Myanmar;Rangun;41;0;8;0;107;8;907;0;0;0;3;1074
Namibia;Windhuk;24;2;7;0;39;5;242;0;0;0;19;338
Nepal;Kathmandu;244;3;27;0;376;4;161;0;0;0;30;845
Neuseeland;Wellington;12;7;0;0;9;2;195;0;0;0;0;225
Nicaragua;Managua;17;3;3;0;26;12;23;0;0;0;5;89
Niederlande;Amsterdam;84;17;28;0;83;3;609;0;0;0;7;831
Nigeria;Abuja;2;1;7;0;39;1;23;0;0;0;38;111
Nigeria;Lagos;419;26;259;0;283;0;265;0;0;0;23;1275
Nordmazedonien;Skopje;2098;49;1930;2;66;13;5850;0;0;0;22;10030
Norwegen;Oslo;20;0;14;0;34;3;90;0;0;0;1;162
Oman;Maskat;226;3;66;0;228;5;100;0;0;2;13;643
Österreich;Wien;104;1;46;0;47;1;664;0;0;0;1;864
Pakistan;Islamabad;1379;7;975;1;1861;24;562;0;0;4153;99;9061
Pakistan;Islamabad (AFG);449;70;442;43;148;77;59;0;0;0;10;1298
Pakistan;Karachi;686;2;195;21;1266;2;209;0;0;0;251;2632
Palästinensische Gebiete;Ramallah;207;11;49;1;160;77;45;0;0;0;25;575
Panama;Panama;19;3;10;0;30;15;19;0;0;0;4;100
Paraguay;Asunción;29;3;6;0;87;57;144;0;0;0;21;347
