Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Ägypten;Kairo;631;416;41;921;20;373;0;0;5;114;2521
Albanien;Tirana;1511;1483;28;497;80;1799;0;0;0;29;5427
Algerien;Algier;213;34;20;21;68;57;0;0;0;45;458
Angola;Luanda;8;6;2;2;1;5;0;0;0;23;47
Argentinien;Buenos Aires;98;28;16;102;36;453;0;0;0;6;739
Armenien;Eriwan;133;36;3;161;13;111;0;4;0;48;509
Aserbaidschan;Baku;178;117;11;362;7;253;22;6;0;30;986
"Äthiopien";Addis Abeba;164;223;4;88;0;9;0;0;30;39;557
Australien;Canberra;0;0;0;0;0;0;0;0;0;13;13
Australien;Sydney;62;14;11;47;3;255;0;0;0;9;401
Bahrain;Manama;21;3;0;39;0;37;0;0;0;1;101
Bangladesch;Dhaka;173;61;4;456;1;35;0;0;0;13;743
Belarus;Minsk;409;210;28;167;6;292;25;96;0;77;1310
Belgien;Brüssel;58;25;3;64;2;158;0;0;0;2;312
Benin;Cotonou;34;20;7;27;2;20;0;0;0;3;113
Bolivien;La Paz;34;2;10;74;7;24;0;0;0;4;155
Bosnien und Herzegowina;Sarajewo;2572;2024;19;132;19;4154;0;0;0;58;8978
Botsuana;Gaborone;5;2;1;5;1;2;0;0;0;8;24
Brasilien;Porto Alegre;15;4;1;6;1;216;0;0;0;2;245
Brasilien;Recife;10;3;0;5;4;93;0;0;0;1;116
Brasilien;Rio de Janeiro;20;7;2;10;19;302;0;0;0;6;366
Brasilien;São Paulo;40;13;0;11;3;697;0;0;0;6;770
Bulgarien;Sofia;20;2;0;11;5;204;0;0;0;4;246
Burkina Faso;Ouagadougou;31;13;2;12;1;41;0;0;0;6;106
Chile;Santiago de Chile;156;26;7;210;8;259;0;0;0;35;701
China;Chengdu;61;14;2;611;22;170;0;0;0;14;894
China;Hongkong;74;19;7;263;17;98;0;0;0;3;481
China;Kanton;136;61;16;579;29;388;0;0;0;0;1209
China;Peking;307;148;13;2518;44;910;0;0;0;105;4045
China;Shanghai;292;138;36;2118;157;701;0;0;0;13;3455
China;Shenyang;64;27;9;387;10;152;0;0;0;6;655
Costa Rica;San José;44;12;10;79;33;35;0;0;0;1;214
Côte d'Ivoire;Abidjan;61;51;6;31;2;38;0;0;0;12;201
Dänemark;Kopenhagen;39;11;1;31;3;205;0;0;0;0;290
Dominikanische Republik;Santo Domingo;133;63;46;15;3;18;0;0;0;18;296
Ecuador;Quito;62;16;29;204;32;51;0;0;0;13;407
El Salvador;San Salvador;2;1;4;0;0;29;0;0;0;8;44
Estland;Tallinn;12;5;0;11;0;387;0;0;0;1;416
Finnland;Helsinki;10;6;0;14;1;54;0;0;0;2;87
Frankreich;Paris;91;29;5;104;10;603;0;0;0;10;852
Georgien;Tiflis;132;49;12;262;32;657;0;0;0;48;1192
Ghana;Accra;186;156;63;338;6;58;0;0;0;70;877
Griechenland;Athen;133;146;11;8;0;76;0;0;0;81;455
Großbritannien;Edinburgh;16;2;1;20;1;40;0;0;0;8;88
Großbritannien;London;191;69;18;76;5;524;0;0;0;48;931
Guatemala;Guatemala-Stadt;18;6;13;34;3;12;0;0;0;5;91
Guinea;Conakry;29;41;2;8;0;5;0;0;0;19;104
Honduras;Tegucigalpa;4;0;1;2;1;12;0;0;0;7;27
Indien;Bangalore;1010;676;1;1929;37;1698;0;0;0;2;5353
Indien;Chennai;876;607;2;1313;16;907;0;0;0;0;3721
Indien;Kalkutta;128;40;2;323;4;258;0;0;0;0;755
Indien;Mumbai;588;248;30;1848;23;909;0;0;0;16;3662
Indien;New Delhi;954;325;85;1978;42;717;0;0;0;240;4341
