Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Indonesien;Jakarta;283;83;59;753;14;2184;0;0;0;90;3466
Irak;Bagdad;38;22;5;18;4;7;0;0;1;106;201
Irak;Erbil;1094;969;231;50;30;13;0;0;67;59;2513
Iran;Teheran;1350;477;23;606;3;1162;0;0;0;150;3771
Irland;Dublin;17;10;0;21;2;103;0;0;0;3;156
Island;Reykjavik;1;0;0;1;0;2;0;0;0;0;4
Israel;Tel Aviv;65;67;7;113;2;184;0;0;0;13;451
Italien;Rom;66;22;10;94;3;267;0;0;0;7;469
Jamaika;Kingston;20;3;5;9;1;4;0;0;0;2;44
Japan;Osaka-Kobe;25;11;5;28;0;161;0;0;0;32;262
Japan;Tokyo;84;48;4;49;3;290;0;0;0;48;526
Jordanien;Amman;397;290;44;724;40;384;0;1;7;60;1947
Kambodscha;Phnom Penh;30;5;5;5;1;0;0;0;0;11;57
Kamerun;Jaunde;103;65;13;169;0;40;0;0;0;16;406
Kanada;Toronto;54;15;6;69;4;358;0;0;0;17;523
Kasachstan;Almaty;102;52;12;191;9;60;0;330;0;18;774
Kasachstan;Nur-Sultan;194;84;38;141;9;43;0;1402;0;41;1952
Katar;Doha;33;10;6;107;2;29;0;0;0;28;215
Kenia;Nairobi;210;382;105;165;5;87;0;0;0;59;1013
Kirgisistan;Bischkek;52;25;12;54;1;320;0;70;0;20;554
Kolumbien;Bogotá;216;45;49;445;125;393;0;0;0;109;1382
Kongo;Kinshasa;23;11;1;31;5;3;0;0;0;11;85
Korea;Seoul;67;42;24;255;1;734;0;0;0;62;1185
Kosovo;Pristina;4535;3723;50;194;10;1671;0;0;0;189;10372
Kroatien;Zagreb;10;2;1;0;0;108;0;0;0;21;142
Kuba;Havanna;114;16;20;14;10;44;0;0;0;26;244
Kuwait;Kuwait;24;20;12;43;1;35;0;0;0;11;146
Laos;Vientiane;19;8;5;3;2;3;0;0;0;1;41
Lettland;Riga;13;5;0;9;0;438;0;0;0;2;467
Libanon;Beirut;2166;2464;424;284;26;229;0;0;15;697;6305
Litauen;Wilna;2;3;0;17;1;576;0;0;0;1;600
Luxemburg;Luxemburg;6;2;2;1;2;32;0;0;0;4;49
Malaysia;Kuala Lumpur;104;58;14;297;34;200;0;0;0;33;740
Mali;Bamako;24;3;5;2;2;8;0;0;0;3;47
Malta;Valletta;15;18;2;4;8;121;0;0;0;0;168
Marokko;Rabat;968;86;19;977;74;457;0;0;0;99;2680
Mauretanien;Nouakchott;4;5;0;9;2;1;0;0;0;8;29
Mexiko;Mexiko-Stadt;376;58;77;556;128;525;0;0;0;89;1809
Moldau;Chisinau;50;16;2;42;2;34;1;10;0;14;171
Mongolei;Ulan Bator;25;17;4;63;22;146;0;0;0;10;287
Montenegro;Podgorica;178;138;9;38;0;635;0;0;0;16;1014
Mosambik;Maputo;17;12;5;7;0;3;0;0;0;10;54
Myanmar;Rangun;27;4;3;36;2;74;0;0;0;9;155
Namibia;Windhuk;19;7;8;18;2;35;0;0;0;4;93
Nepal;Kathmandu;98;12;2;326;3;97;0;0;0;24;562
Neuseeland;Wellington;18;3;1;9;3;99;0;0;0;1;134
Nicaragua;Managua;10;1;1;32;2;9;0;0;0;0;55
Niederlande;Amsterdam;74;29;6;40;1;332;0;0;0;6;488
Nigeria;Abuja;0;0;1;6;0;4;0;0;0;23;34
Nigeria;Lagos;164;127;13;210;3;101;0;0;0;16;634
Nordmazedonien;Skopje;1211;1105;25;52;5;1625;0;0;0;39;4062
Norwegen;Oslo;16;4;2;19;1;54;0;0;0;1;97
Oman;Maskat;53;48;10;140;8;27;0;0;0;0;286
Österreich;Wien;70;20;8;51;4;513;1;0;2;4;673
Pakistan;Islamabad;647;427;14;534;2;159;0;0;0;107;1890
Pakistan;Islamabad (AFG);360;514;76;40;6;8;0;0;0;22;1026
Pakistan;Karachi;203;26;10;365;9;58;0;0;0;4;675
Palästinensische Gebiete;Ramallah;122;52;6;144;21;19;0;0;0;18;382
Panama;Panama;19;5;6;16;5;14;0;0;0;0;65
Paraguay;Asunción;29;2;1;42;10;33;0;0;0;9;126
Peru;Lima;92;25;49;218;46;83;0;0;0;13;526
Philippinen;Manila;533;142;174;47;13;2765;0;0;0;14;3688
Polen;Warschau;79;22;8;111;4;578;0;0;0;8;810
Portugal;Lissabon;11;12;1;8;1;123;0;0;0;22;178
Ruanda;Kigali;28;7;1;65;3;15;0;0;0;3;122
Rumänien;Bukarest;11;2;0;9;101;80;0;0;0;5;208
Russische Föderation;Jekaterinburg;184;59;24;140;10;98;4;405;0;12;936
Russische Föderation;Kaliningrad;73;22;18;46;5;22;0;255;0;7;448
Russische Föderation;Moskau;1185;469;129;1210;55;1021;152;799;0;467;5487
Russische Föderation;Nowosibirsk;247;91;44;146;9;107;17;804;0;13;1478
Russische Föderation;St Petersburg;273;88;34;444;14;303;3;82;0;54;1295
Sambia;Lusaka;22;9;5;20;3;14;0;0;0;5;78
Saudi-Arabien;Djidda;51;36;3;78;30;33;0;0;0;46;277
Saudi-Arabien;Riad;102;77;11;109;26;37;0;0;0;91;453
Schweden;Stockholm;29;15;1;17;0;97;0;0;0;0;159
Schweiz;Bern;113;27;2;38;8;382;0;0;0;5;575
Senegal;Dakar;134;91;29;24;4;105;0;0;0;24;411
Serbien;Belgrad;1357;1263;90;182;12;5587;0;0;0;69;8560
Simbabwe;Harare;10;17;3;54;3;60;0;0;0;13;160
Singapur;Singapur;191;62;27;212;19;220;0;0;0;126;857
Slowakei;Pressburg;13;2;0;3;2;229;0;0;0;4;253
Slowenien;Laibach;22;7;0;0;0;250;0;0;0;0;279
Spanien;Madrid;57;29;11;73;5;201;0;0;0;16;392
Sri Lanka;Colombo;219;28;5;125;5;60;0;0;0;26;468
Südafrika;Kapstadt;110;40;20;50;3;110;0;0;0;17;350
Südafrika;Pretoria;178;72;40;177;17;199;0;0;0;48;731
Sudan;Khartum;242;82;7;56;18;22;0;0;0;26;453
Tadschikistan;Duschanbe;36;29;6;47;11;260;0;0;0;31;420
Taiwan;Taipei;99;23;16;705;11;198;0;0;0;31;1083
Tansania;Daressalam;56;18;20;65;8;211;0;0;0;4;382
Thailand;Bangkok;1047;241;137;220;184;271;0;0;0;395;2495
Togo;Lomé;81;38;19;30;0;78;0;0;0;14;260
Trinidad und Tobago;Port-of-Spain;10;0;3;10;2;3;0;0;0;0;28
Tschechische Republik;Prag;50;25;1;22;8;151;0;0;0;1;258
Tunesien;Tunis;872;76;87;571;38;837;0;0;0;220;2701
Türkei;Ankara;2649;569;454;733;14;3359;1;0;0;372;8151
Türkei;Istanbul;2302;1329;546;1827;70;1336;0;0;858;631;8899
Türkei;Izmir;800;145;174;495;33;313;0;0;0;201;2161
Turkmenistan;Aschgabat;5;0;1;3;0;3;0;1;1;6;20
Uganda;Kampala;75;69;9;58;1;80;0;0;0;3;295
Ukraine;Kiew;1547;649;78;851;48;1823;226;333;0;211;5766
Ungarn;Budapest;25;8;3;39;15;96;0;0;0;13;199
Uruguay;Montevideo;6;1;2;10;1;137;0;0;0;11;168
USA;Atlanta;19;8;1;15;1;80;0;0;0;2;126
USA;Boston;44;8;2;20;0;121;0;0;0;6;201
USA;Chicago;58;18;1;38;1;171;0;1;0;36;324
USA;Houston;29;22;4;24;0;146;0;0;0;3;228
USA;Los Angeles;50;7;2;33;3;120;0;0;0;28;243
USA;Miami;17;11;3;12;0;44;0;0;0;9;96
USA;New York;99;19;14;48;0;247;0;0;0;15;442
USA;San Francisco;52;18;1;26;1;182;0;0;0;10;290
USA;Washington;22;10;2;8;1;57;0;0;0;530;630
Usbekistan;Taschkent;80;37;3;166;12;130;2;38;0;36;504
VAE;Dubai;306;162;48;402;25;295;0;0;0;33;1271
Venezuela;Caracas;28;3;1;19;5;41;0;0;0;12;109
Vietnam;Hanoi;289;265;24;347;24;1922;0;0;0;71;2942
Vietnam;Ho-Chi-Minh-Stad;270;99;29;307;20;443;0;0;0;27;1195
Zypern;Nikosia;17;6;4;12;0;73;0;0;0;9;121
Gesamt;weltweit;45169;26225;4584;38097;2468;60945;454;4637;986;7920;191485
