Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Italien;Rom;86;24;8;103;1;394;0;0;11;5;632
Jamaika;Kingston;13;4;7;10;0;4;0;0;0;1;39
Japan;Osaka-Kobe;20;21;0;21;3;199;0;0;0;57;321
Japan;Tokyo;99;94;0;46;8;430;0;0;0;32;709
Jordanien;Amman;431;233;53;1037;49;512;0;0;639;73;3027
Kambodscha;Phnom Penh;27;10;8;9;2;7;0;0;0;3;66
Kamerun;Jaunde;116;97;18;547;1;119;0;0;1;33;932
Kanada;Toronto;62;18;4;37;8;368;0;0;0;8;505
Kasachstan;Almaty;137;79;7;286;41;105;0;464;0;18;1137
Kasachstan;Nur-Sultan;204;86;29;230;19;85;2;2460;0;44;3159
Katar;Doha;47;48;2;186;17;61;0;0;732;85;1178
Kenia;Nairobi;332;1067;102;228;9;214;0;0;592;80;2624
Kirgisistan;Bischkek;80;30;13;87;7;944;0;187;1;57;1406
Kolumbien;Bogotá;265;95;23;808;271;921;0;0;1;486;2870
Kongo;Kinshasa;26;22;3;43;9;18;0;0;0;21;142
Korea;Seoul;97;61;22;397;4;793;0;0;0;92;1466
Kosovo;Pristina;7541;4960;127;337;19;4442;1;0;0;481;17908
Kroatien;Zagreb;17;3;0;2;0;93;0;0;0;17;132
Kuba;Havanna;215;40;16;25;15;108;0;0;0;28;447
Kuwait;Kuwait;36;37;11;95;8;59;0;0;0;30;276
Laos;Vientiane;9;0;1;3;3;7;0;0;0;8;31
Lettland;Riga;22;6;4;13;1;627;0;0;0;3;676
Libanon;Beirut;691;86;116;494;11;310;0;0;0;52;1760
Libanon;Beirut (SYR);3426;2258;250;152;44;337;0;0;1332;2160;9959
Litauen;Wilna;9;4;0;23;2;528;0;0;0;1;567
Luxemburg;Luxemburg;16;2;0;13;0;65;0;0;0;3;99
Malaysia;Kuala Lumpur;110;74;22;532;56;269;0;0;0;24;1087
Mali;Bamako;20;1;8;10;1;36;0;0;1;10;87
Malta;Valletta;16;6;0;5;16;108;0;0;0;0;151
Marokko;Rabat;1800;147;28;1692;62;1435;0;0;0;121;5285
Mauretanien;Nouakchott;5;2;0;25;4;3;0;0;0;10;49
Mexiko;Mexiko-Stadt;529;170;85;1401;126;1218;0;0;0;90;3619
Moldau;Chisinau;77;25;7;33;7;94;5;50;5;25;328
Mongolei;Ulan Bator;35;33;4;117;17;243;0;0;0;33;482
Montenegro;Podgorica;247;239;9;53;9;873;0;0;0;20;1450
Mosambik;Maputo;20;11;5;13;0;13;0;0;0;12;74
Myanmar;Rangun;22;5;2;68;9;111;0;0;0;8;225
Namibia;Windhuk;18;4;7;31;2;66;0;0;0;18;146
Nepal;Kathmandu;115;18;7;424;1;127;0;0;0;14;706
Neuseeland;Wellington;11;3;5;5;3;67;0;0;0;0;94
Nicaragua;Managua;15;3;1;28;4;33;0;0;0;2;86
Niederlande;Amsterdam;89;24;3;44;2;444;0;0;0;6;612
Nigeria;Abuja;2;2;0;15;0;4;0;0;0;62;85
Nigeria;Lagos;407;231;31;301;1;274;0;0;0;20;1265
Nordkorea;Pjöngjang;0;0;0;0;0;0;0;0;0;0;0
Nordmazedonien;Skopje;1395;1352;35;85;6;2880;0;0;7;55;5815
Norwegen;Oslo;15;7;0;20;2;40;0;0;0;1;85
Oman;Maskat;44;34;2;154;15;46;0;0;0;11;306
"Österreich";Wien;88;27;5;70;1;467;0;0;1;3;662
Pakistan;Islamabad;531;378;13;1352;30;386;0;0;4035;79;6804
Pakistan;Islamabad (AFG);388;433;68;124;32;22;0;0;2459;43;3569
Pakistan;Karachi;826;220;73;482;13;168;0;0;0;4;1786
Palästinensische Gebiete;Ramallah;183;61;11;216;57;36;0;0;0;40;604
Panama;Panama;23;5;3;25;39;27;0;0;0;6;128
Paraguay;Asuncion;32;7;10;94;13;80;0;0;0;11;247
Peru;Lima;101;35;36;329;60;212;0;0;0;27;800
Philippinen;Manila;443;171;238;102;53;3030;0;0;2;22;4061
Polen;Warschau;85;25;13;116;3;389;0;0;6;9;646
Portugal;Lissabon;17;5;0;10;1;146;0;0;1;32;212
Ruanda;Kigali;31;6;3;71;13;81;0;0;0;5;210
Rumänien;Bukarest;9;6;0;4;128;31;0;0;1;5;184
Russische Föderation;Jekaterinburg;185;72;34;205;23;184;0;701;0;8;1412
Russische Föderation;Kaliningrad;93;49;12;57;8;61;0;301;1;147;729
Russische Föderation;Moskau;1489;623;110;1767;133;1837;216;1323;0;420;7918
Russische Föderation;Nowosibirsk;266;83;26;181;25;232;16;1689;0;10;2528
Russische Föderation;St Petersburg;335;134;31;562;41;493;0;275;0;132;2003
Sambia;Lusaka;29;20;1;21;2;38;0;0;0;6;117
Saudi-Arabien;Djidda;61;37;1;89;21;60;0;0;0;24;293
Saudi-Arabien;Riad;143;118;19;140;33;59;0;0;0;156;668
Schweden;Stockholm;41;17;0;19;0;139;0;0;0;5;221
Schweiz;Bern;122;67;3;39;6;518;0;0;0;2;757
Senegal;Dakar;127;118;45;40;2;107;0;0;0;35;474
Serbien;Belgrad;2876;2684;87;216;43;8321;0;0;0;88;14315
Simbabwe;Harare;28;10;1;38;4;87;0;0;0;26;194
Singapur;Singapur;236;44;34;140;8;290;0;0;0;116;868
Slowakei;Pressburg;20;1;2;3;1;65;0;0;0;1;93
Slowenien;Laibach;38;15;1;4;1;89;0;0;0;1;149
Spanien;Madrid;62;16;9;89;14;294;0;0;5;50;539
Sri Lanka;Colombo;227;39;3;136;1;83;0;0;0;6;495
Südafrika;Kapstadt;109;41;30;83;5;181;0;0;1;18;468
Südafrika;Pretoria;189;46;32;116;9;251;0;0;0;37;680
Sudan;Khartum;342;130;40;63;25;26;0;0;0;32;658
Tadschikistan;Duschanbe;60;67;2;84;18;833;0;3;39;20;1126
Taiwan;Taipei;100;20;17;805;20;219;0;0;0;31;1212
Tansania;Daressalam;61;16;15;79;12;748;0;0;0;32;963
Thailand;Bangkok;1018;275;130;343;214;412;0;0;0;566;2958
Togo;Lome;61;68;13;35;0;190;0;0;0;25;392
Trinidad und Tobago;Port of Spain;2;0;3;12;0;3;0;0;0;1;21
Tschechische Republik;Prag;47;37;0;28;3;222;0;0;4;1;342
Tunesien;Tunis;1081;128;142;1002;79;1757;0;0;0;254;4443
Türkei;Ankara;3524;1195;534;1620;96;4612;0;0;59;615;12255
Türkei;Istanbul;2994;1566;568;3708;352;2626;0;0;2411;1271;15496
Türkei;Izmir;1010;182;207;1042;34;629;0;0;3;180;3287
Turkmenistan;Aschgabat;20;18;3;13;2;10;0;5;0;1;72
Uganda;Kampala;99;97;21;64;8;226;0;0;0;2;517
Ukraine;Kiew;1639;755;77;1151;98;2479;220;470;57;133;7079
Ungarn;Budapest;38;16;0;52;6;162;0;0;5;0;279
Uruguay;Montevideo;20;6;1;13;3;66;0;0;0;8;117
USA;Atlanta;33;17;2;15;2;171;0;0;0;2;242
USA;Boston;46;17;1;44;3;151;0;0;0;15;277
USA;Chicago;87;48;7;47;1;297;0;0;0;46;533
USA;Houston;49;22;4;25;6;154;0;0;0;4;264
USA;Los Angeles;48;15;1;36;1;181;0;0;0;24;306
USA;Miami;20;7;5;19;2;64;0;0;0;11;128
USA;New York;84;37;4;71;2;287;0;0;0;5;490
USA;San Francisco;78;22;5;70;2;296;0;0;0;0;473
USA;Washington;26;18;2;19;1;89;0;0;0;591;746
Usbekistan;Taschkent;109;67;0;280;23;285;3;33;37;158;995
VAE;Dubai;392;227;25;531;19;505;0;0;62;83;1844
Venezuela;Caracas;49;7;3;68;42;148;0;0;0;35;352
Vietnam;Hanoi;175;270;19;532;24;2191;0;0;0;73;3284
Vietnam;Ho-Chi-Minh-Stadt;156;63;33;387;32;506;0;0;0;21;1198
Zypern;Nikosia;11;7;7;15;1;167;0;0;1;21;230
Gesamt;weltweit;64458;35078;5104;62585;4292;97292;497;8104;14662;12701;304773
