Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Ägypten;Kairo;1300;595;92;2252;11;1084;0;0;810;153;6297
Albanien;Tirana;1852;1404;39;588;38;3519;0;0;11;58;7509
Algerien;Algier;280;52;33;115;140;203;0;0;0;45;868
Angola;Luanda;7;13;3;5;6;3;0;0;0;79;116
Argentinien;Buenos Aires;188;57;38;222;48;665;0;0;0;9;1227
Armenien;Eriwan;194;62;5;270;35;257;0;11;0;64;898
Aserbaidschan;Baku;224;125;11;497;43;560;11;16;0;80;1567
"Äthiopien";Addis Abeba;468;829;6;197;0;45;0;0;10;98;1653
Australien;Canberra;0;0;0;0;0;1;0;0;0;17;18
Australien;Sydney;62;32;15;31;6;225;0;0;0;3;374
Bahrain;Manama;24;15;4;62;2;45;0;0;0;6;158
Bangladesch;Dhaka;349;95;2;1200;0;76;0;0;0;24;1746
Belarus;Minsk;448;253;22;263;28;570;22;97;74;108;1885
Belgien;Brüssel;68;22;2;58;2;198;0;0;0;6;356
Benin;Cotonou;22;24;4;34;2;84;0;0;0;7;177
Bolivien;La Paz;36;4;15;156;23;114;0;0;0;9;357
Bosnien und Herzegowina;Sarajewo;2916;1898;23;196;43;6553;0;0;0;21;11650
Botsuana;Gaborone;8;2;2;7;0;9;0;0;0;9;37
Brasilien;Porto Alegre;2;1;1;3;0;223;0;0;0;8;238
Brasilien;Recife;10;7;0;1;1;178;0;0;0;5;202
Brasilien;Rio de Janeiro;0;0;1;10;0;358;0;0;0;4;373
Brasilien;São Paulo;21;3;3;11;2;928;0;0;0;3;971
Bulgarien;Sofia;34;2;0;16;3;225;0;0;0;19;299
Burkina Faso;Ouagadougou;42;22;5;26;0;29;0;16;114;17;271
Chile;Santiago de Chile;170;25;12;282;43;214;0;0;4;37;787
VR China;Chengdu;53;15;2;894;12;219;0;0;0;13;1208
VR China;Hongkong;90;24;4;206;59;154;0;0;0;27;564
VR China;Kanton;135;55;13;782;47;495;0;0;2;9;1538
VR China;Peking;300;122;10;3342;46;1094;0;0;0;99;5013
VR China;Shanghai;355;128;44;2867;240;1173;0;0;0;42;4849
VR China;Shenyang;88;29;10;561;27;267;0;0;0;0;982
Costa Rica;San José;57;10;12;87;39;96;0;0;0;19;320
Côte d’Ivoire;Abidjan;50;29;7;48;2;83;0;0;0;10;229
Dänemark;Kopenhagen;53;14;0;28;1;176;0;0;0;1;273
Dominikanische Republik;Santo Domingo;141;108;41;31;20;36;0;0;0;25;402
Ecuador;Quito;92;17;21;335;97;211;0;0;0;37;810
El Salvador;San Salvador;1;1;0;0;0;39;0;0;0;2;43
Estland;Tallinn;21;9;0;6;1;442;0;0;0;2;481
Finnland;Helsinki;16;8;0;16;0;74;0;0;0;1;115
Frankreich;Paris;116;43;23;112;7;838;0;0;5;23;1167
Georgien;Tiflis;182;77;14;329;35;844;0;3;0;46;1530
Ghana;Accra;235;174;66;516;18;114;0;0;0;105;1228
Griechenland;Athen;124;135;14;7;1;42;0;0;25;59;407
Großbritannien;Edinburgh;22;6;2;41;1;224;0;0;0;5;301
Großbritannien;London;219;80;37;206;2;1470;1;0;0;75;2090
Guatemala;Guatemala-Stadt;19;4;7;54;15;38;0;0;0;10;147
Guinea;Conakry;42;61;6;36;1;14;0;0;0;30;190
Honduras;Tegucigalpa;1;0;0;8;2;41;0;0;0;2;54
Indien;Bangalore;2103;1233;4;3381;48;3654;0;0;0;2;10425
Indien;Chennai;1526;958;4;1809;70;1508;0;0;0;0;5875
Indien;Kalkutta;353;125;4;729;5;552;0;0;0;12;1780
Indien;Mumbai;1258;389;49;4116;20;1705;0;0;0;36;7573
Indien;New Delhi;1077;445;97;2440;6;1379;0;0;3;189;5636
Indien;New Delhi (AFG);175;50;7;23;5;14;0;0;14;49;337
Indonesien;Jakarta;199;69;23;707;32;2451;0;0;0;60;3541
Irak;Bagdad;202;104;34;37;17;47;0;0;0;108;549
Irak;Erbil;1640;1124;215;63;61;75;0;0;230;99;3507
Iran;Teheran;2778;1001;57;2605;25;1710;0;0;848;295;9319
Irland;Dublin;22;9;1;24;1;131;0;0;0;5;193
Island;Reykjavik;1;1;0;1;0;8;0;0;0;0;11
Israel;Tel Aviv;59;70;8;135;4;198;0;0;0;60;534
