Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Israel;Tel Aviv;68;62;3;162;3;301;0;0;5;18;622
Italien;Rom;102;26;8;136;5;551;0;0;9;5;842
Jamaika;Kingston;10;5;3;13;3;9;0;0;0;1;44
Japan;Osaka-Kobe;31;22;0;38;2;319;0;0;0;82;494
Japan;Tokyo;114;86;0;72;3;620;0;0;0;27;922
Jordanien;Amman;510;323;84;1225;43;1384;0;0;701;96;4366
Kambodscha;Phnom Penh;23;7;5;26;1;20;0;0;0;2;84
Kamerun;Jaunde;152;140;11;800;2;418;0;0;0;39;1562
Kanada;Toronto;71;15;1;69;5;655;0;0;0;4;820
Kasachstan;Almaty;143;58;12;413;47;215;0;597;20;12;1517
Kasachstan;Astana;225;107;31;245;15;216;7;1883;21;65;2815
Katar;Doha;62;30;3;164;11;102;0;0;9;20;401
Kenia;Nairobi;323;866;89;326;16;317;0;0;570;197;2704
Kirgisistan;Bischkek;69;28;14;97;25;1193;5;139;4;101;1675
Kolumbien;Bogotá;290;98;21;796;514;1378;0;0;0;502;3599
Kongo;Kinshasa;42;24;5;81;8;26;0;0;0;25;211
Korea;Seoul;96;60;52;619;3;1156;0;0;0;145;2131
Kosovo;Pristina;4643;2544;83;223;33;9309;0;0;0;644;17479
Kroatien;Zagreb;22;7;1;3;1;302;0;0;0;24;360
Kuba;Havanna;225;60;33;27;12;127;0;0;0;55;539
Kuwait;Kuwait;35;38;5;83;9;49;0;0;0;48;267
Laos;Vientiane;14;1;4;9;3;14;0;0;0;4;49
Lettland;Riga;31;26;0;35;1;380;0;6;2;1;482
Libanon;Beirut;689;116;119;555;5;375;0;0;0;69;1928
Libanon;Beirut (SYR);4319;3075;526;290;5;523;0;0;1573;1471;11782
Litauen;Wilna;16;7;4;28;2;495;0;0;0;15;567
Luxemburg;Luxemburg;11;5;0;6;1;84;0;0;1;3;111
Malaysia;Kuala Lumpur;164;112;13;546;31;460;0;0;0;84;1410
Mali;Bamako;28;1;7;12;8;47;0;0;0;22;125
Malta;Valletta;16;3;1;6;4;240;0;0;0;0;270
Marokko;Rabat;1548;142;25;1357;59;2671;0;3;1;114;5920
Mauretanien;Nouakchott;8;4;2;24;10;1;0;0;0;0;49
Mexiko;Mexiko-Stadt;526;170;69;1744;404;1609;0;0;0;111;4633
Moldau;Chisinau;100;44;8;40;10;108;9;21;0;25;365
Mongolei;Ulan Bator;25;38;3;133;30;423;0;0;0;42;694
Montenegro;Podgorica;225;190;12;37;11;1148;0;0;13;61;1697
Mosambik;Maputo;17;7;0;28;2;24;0;0;0;2;80
Myanmar;Rangun;29;9;2;111;8;619;0;0;0;5;783
Namibia;Windhuk;19;7;2;55;4;142;0;0;0;43;272
Nepal;Kathmandu;164;28;1;437;1;160;0;0;0;33;824
Neuseeland;Wellington;15;1;2;9;2;118;0;0;0;3;150
Nicaragua;Managua;22;5;3;25;15;24;0;0;0;0;94
Niederlande;Amsterdam;102;25;9;58;4;521;0;0;4;7;730
Nigeria;Abuja;3;1;2;24;27;11;0;0;0;45;113
Nigeria;Lagos;368;239;19;512;4;356;0;0;0;19;1517
Nordmazedonien;Skopje;1800;1634;30;67;10;5796;0;0;8;71;9416
Norwegen;Oslo;16;5;0;22;0;68;0;0;0;1;112
Oman;Maskat;145;46;6;177;6;73;0;0;20;12;485
"Österreich";Wien;104;27;8;80;1;604;0;0;0;16;840
Pakistan;Islamabad;898;563;19;1009;22;586;0;0;15145;99;18341
Pakistan;Islamabad (AFG);417;403;67;139;64;48;0;0;1;26;1165
Pakistan;Karachi;1060;379;25;791;1;272;0;0;0;8;2536
Palästinensische Gebiete;Ramallah;175;53;4;213;70;30;0;0;0;59;604
Panama;Panama;26;9;2;29;16;28;0;0;0;3;113
Paraguay;Asuncion;30;7;6;85;41;153;0;0;0;24;346
Peru;Lima;118;46;49;449;173;343;0;0;0;63;1241
Philippinen;Manila;674;297;171;186;74;4714;0;0;0;29;6145
Polen;Warschau;136;66;21;128;13;481;1;0;1;10;857
Portugal;Lissabon;26;12;7;16;2;242;0;0;2;25;332
Ruanda;Kigali;51;15;5;76;7;132;0;0;0;7;293
Rumänien;Bukarest;15;9;3;14;89;51;0;0;1;8;190
Russische Föderation;Jekaterinburg;241;112;19;155;32;265;0;392;5;8;1229
Russische Föderation;Kaliningrad;86;39;13;34;7;89;0;250;1;21;540
Russische Föderation;Moskau;3291;2111;104;1308;138;4739;142;1233;193;232;13491
Russische Föderation;Nowosibirsk;280;114;28;123;26;241;16;995;4;18;1845
Russische Föderation;St Petersburg;1083;633;33;586;83;1641;0;254;69;105;4487
Sambia;Lusaka;29;11;8;27;0;43;0;0;0;42;160
Saudi-Arabien;Djidda;41;25;6;75;33;55;0;0;0;19;254
Saudi-Arabien;Riad;154;137;6;163;26;81;0;0;0;142;709
Schweden;Stockholm;52;34;1;19;0;195;0;0;0;1;302
Schweiz;Bern;117;59;2;51;3;699;0;0;0;16;947
Senegal;Dakar;132;71;26;57;5;134;0;0;0;80;505
Serbien;Belgrad;1892;1672;102;181;31;11791;0;0;17;77;15763
Simbabwe;Harare;17;24;0;89;6;249;0;0;0;30;415
Singapur;Singapur;267;114;7;340;14;476;0;0;0;183;1401
Slowakei;Pressburg;35;6;3;6;0;84;0;0;6;3;143
Slowenien;Laibach;24;7;1;8;0;35;0;0;0;0;75
Spanien;Madrid;81;14;12;82;10;316;0;0;17;4;536
Sri Lanka;Colombo;315;64;2;257;5;198;0;0;1;13;855
Südafrika;Kapstadt;135;73;25;73;14;247;1;0;1;75;644
Südafrika;Pretoria;240;66;77;184;27;446;0;0;0;45;1085
Sudan;Khartum;263;85;21;72;25;45;0;0;0;29;540
Tadschikistan;Duschanbe;90;45;1;52;19;707;0;2;22;41;979
Taiwan;Taipei;123;37;23;1130;55;397;0;0;0;22;1787
Tansania;Daressalam;82;28;20;90;21;659;0;0;0;22;922
Thailand;Bangkok;1030;287;103;503;294;670;0;0;0;537;3424
Togo;Lome;95;30;13;54;7;219;0;0;0;33;451
Trinidad und Tobago;Port of Spain;8;0;4;16;1;9;0;0;0;2;40
Tschechische Republik;Prag;75;39;8;39;7;216;0;4;6;4;398
Tunesien;Tunis;1122;154;214;1416;304;2706;0;0;0;221;6137
Türkei;Ankara;3265;1056;505;1756;211;6410;0;0;67;577;13847
Türkei;Istanbul;4232;2708;674;4434;450;4735;9;17;3093;1276;21628
Türkei;Izmir;1281;296;176;986;86;1397;0;5;15;241;4483
Turkmenistan;Aschgabat;13;17;2;14;1;10;0;10;0;5;72
Uganda;Kampala;107;113;12;121;15;398;0;0;1;19;786
Ukraine;Kiew;198;71;4;89;12;387;23;31;5;8;828
Ungarn;Budapest;55;32;0;82;30;257;0;0;0;2;458
Uruguay;Montevideo;19;3;0;23;4;95;0;0;0;6;150
USA;Atlanta;29;9;2;20;1;194;0;0;0;0;255
USA;Boston;37;19;1;55;1;168;0;0;0;7;288
USA;Chicago;61;19;3;49;0;238;0;0;0;56;426
USA;Houston;30;21;2;27;1;169;0;0;0;6;256
USA;Los Angeles;46;11;2;39;3;211;0;0;0;38;350
USA;Miami;17;9;0;12;2;58;0;0;0;3;101
USA;New York;61;14;7;57;1;270;0;0;0;11;421
USA;San Francisco;69;31;1;15;3;291;0;0;1;6;417
USA;Washington;35;17;0;23;3;115;0;0;0;577;770
Usbekistan;Taschkent;150;88;1;317;36;502;3;14;29;28;1168
VAE;Dubai;467;252;36;591;36;794;0;0;69;58;2303
Venezuela;Caracas;61;6;6;68;44;147;0;0;0;42;374
Vietnam;Hanoi;233;479;42;616;41;3286;0;0;0;71;4768
Vietnam;Ho-Chi-Minh-Stadt;204;94;31;552;41;909;0;0;0;21;1852
Zypern;Nikosia;14;10;2;18;6;74;0;0;3;30;157
Gesamt;weltweit;71129;40422;5483;71018;6057;152336;254;6013;26903;13468;393083
