Land;Auslandsvertretung;Ehegattennachzug;Kindernachzug;Sonst_Familiennachzug;Studium;Sprachkurs_Schulbesuch;Erwerbstätigkeit;JüdischeZuwanderung;Spätaussiedler;HumanitäreAufnahmeResettlement;SonstigeAufenthaltszwecke;Gesamt
Ägypten;Kairo;1413;695;79;2601;11;2022;0;0;10;929;7760
Albanien;Tirana;2582;1800;41;620;112;6526;0;0;35;37;11753
Algerien;Algier;352;69;36;182;201;374;0;0;0;66;1280
Angola;Luanda;4;3;6;17;9;13;0;0;0;63;115
Argentinien;Buenos Aires;217;76;29;278;56;1221;0;0;0;10;1887
Armenien;Eriwan;259;100;6;228;32;331;0;21;38;60;1075
Aserbaidschan;Baku;254;179;13;551;29;905;1;16;1;52;2001
"Äthiopien";Addis Abeba;805;1520;29;162;5;81;0;0;0;103;2705
Australien;Canberra;0;0;0;0;0;0;0;0;0;21;21
Australien;Sydney;55;17;12;39;12;419;0;0;0;9;563
Bahrain;Manama;25;20;15;66;4;104;0;0;0;2;236
Bangladesch;Dhaka;373;83;1;1136;0;131;0;0;0;17;1741
Belarus;Minsk;493;355;24;216;55;788;31;102;125;122;2311
Belgien;Brüssel;64;22;3;51;0;230;0;0;0;4;374
Benin;Cotonou;24;18;12;53;1;98;0;0;0;9;215
Bolivien;La Paz;43;12;10;106;55;108;0;0;0;6;340
Bosnien und Herzegowina;Sarajewo;2485;2034;26;153;42;10524;0;0;0;36;15300
Botsuana;Gaborone;8;5;4;15;2;13;0;0;0;3;50
Brasilien;Porto Alegre;2;0;0;14;0;423;0;0;0;2;441
Brasilien;Recife;1;0;0;1;1;332;0;0;0;18;353
Brasilien;Rio de Janeiro;7;2;3;15;3;570;0;0;0;11;611
Brasilien;São Paulo;29;8;2;25;2;1433;0;0;0;7;1506
Bulgarien;Sofia;28;2;0;11;8;384;0;0;0;9;442
Burkina Faso;Ouagadougou;41;20;2;47;3;70;0;0;104;13;300
Chile;Santiago de Chile;200;46;7;387;96;526;0;0;3;58;1323
VR China;Chengdu;86;34;7;763;32;268;0;0;0;18;1208
VR China;Hongkong;78;34;5;294;35;138;0;0;0;40;624
VR China;Kanton;144;63;20;835;47;971;0;0;0;1;2081
VR China;Peking;288;131;28;2194;65;999;0;0;0;95;3800
VR China;Shanghai;276;112;44;2464;118;725;0;0;0;12;3751
VR China;Shenyang;69;39;12;527;30;335;0;0;0;6;1018
Costa Rica;San José;58;10;7;117;47;142;0;0;0;8;389
Côte d’Ivoire;Abidjan;73;65;7;53;2;129;0;0;0;11;340
Dänemark;Kopenhagen;52;15;4;28;0;201;0;0;0;0;300
Dominikanische Republik;Santo Domingo;128;78;35;29;21;49;0;0;4;26;370
Ecuador;Quito;75;13;26;345;181;255;0;0;0;32;927
El Salvador;San Salvador;0;0;0;2;0;52;0;0;0;11;65
Estland;Tallinn;33;21;2;10;0;173;0;0;0;0;239
Finnland;Helsinki;17;17;3;26;0;96;0;0;0;3;162
Frankreich;Paris;114;32;15;120;20;644;0;0;4;5;954
Georgien;Tiflis;237;106;14;422;51;906;5;15;62;163;1981
Ghana;Accra;281;222;60;725;24;200;0;0;0;128;1640
Griechenland;Athen;111;67;22;7;2;87;0;0;28;98;422
Großbritannien;Edinburgh;36;11;8;60;5;280;1;0;0;0;401
Großbritannien;London;220;72;44;208;18;1960;0;2;1;68;2593
Guatemala;Guatemala-Stadt;26;1;5;44;25;43;0;0;0;15;159
Guinea;Conakry;59;47;4;68;1;23;0;0;0;24;226
Honduras;Tegucigalpa;2;0;1;4;0;46;0;0;0;1;54
Indien;Bangalore;3164;2184;3;5521;79;8613;0;0;0;7;19571
Indien;Chennai;1844;1239;2;2038;61;2483;0;0;0;1;7668
Indien;Kalkutta;397;169;1;909;0;836;0;0;0;6;2318
Indien;Mumbai;1946;774;137;5731;44;3013;0;0;2;19;11666
Indien;New Delhi;1579;683;175;3069;16;2434;0;0;18;309;8283
Indonesien;Jakarta;277;64;29;1119;26;3587;0;0;0;82;5184
Irak;Bagdad;254;69;11;46;21;70;0;0;0;102;573
Irak;Erbil;1760;1579;226;176;47;65;0;1;341;117;4312
Iran;Teheran;4161;1477;55;3736;69;2666;0;0;4391;526;17081
Irland;Dublin;30;9;0;18;9;611;0;0;0;2;679
Island;Reykjavik;0;0;0;2;0;2;0;0;0;0;4
